shop_name,shop_id,shop_name_translated
"РостовНаДону ТРК ""Мегацентр Горизонт"" Островной",40,"로스토프나도누, ""메가센터 호리존트"" 섬 매장"
"РостовНаДону ТЦ ""Мега""",41,"로스토프나도누, ""메가"" 쇼핑센터"
"СПб ТК ""Невский Центр""",42,"상트페테르부르크, ""네브스키 센터"" 쇼핑몰"
"СПб ТК ""Сенная""",43,"상트페테르부르크, ""세나야"" 쇼핑몰"
"Самара ТЦ ""Мелодия""",44,"사마라, ""멜로디아"" 쇼핑센터"
"Самара ТЦ ""ПаркХаус""",45,"사마라, ""파크하우스"" 쇼핑센터"
"Сергиев Посад ТЦ ""7Я""",46,"세르기예프 포사드, ""7YA"" 쇼핑센터"
"Сургут ТРЦ ""Сити Молл""",47,"수르구트, ""시티 몰"" 쇼핑센터"
"Томск ТРЦ ""Изумрудный Город""",48,"톰스크, ""에메랄드 시티"" 쇼핑센터"
"Тюмень ТРЦ ""Кристалл""",49,"튜멘, ""크리스탈"" 쇼핑몰"
"Тюмень ТЦ ""Гудвин""",50,"튜멘, ""구드윈"" 쇼핑센터"
"Тюмень ТЦ ""Зеленый Берег""",51,"튜멘, ""그린 쇼어"" 쇼핑센터"
"Уфа ТК ""Центральный""",52,"우파, ""센터럴"" 쇼핑몰"
"Уфа ТЦ ""Семья"" 2",53,"우파, ""세미야"" 쇼핑센터 2"
"Химки ТЦ ""Мега""",54,"힘키, ""메가"" 쇼핑센터"
Цифровой склад 1С-Онлайн,55,디지털 창고 1C-온라인
"Чехов ТРЦ ""Карнавал""",56,"체홉, ""카니발"" 쇼핑센터"
"Якутск Орджоникидзе, 56",57,"야쿠츠크, 오르조니키제, 56"
"Якутск ТЦ ""Центральный""",58,"야쿠츠크, ""센터럴"" 쇼핑센터"
"Ярославль ТЦ ""Альтаир""",59,"야로슬라블, ""알타이르"" 쇼핑센터"
